"User Type","Product","Price","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Designer Kurta","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Salwar / Churidar 3pcs","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Palazo Pant","69","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dress Indo western","349","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Boot","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dhara","179","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jainsem","179","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Specialty Clothing","299","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Coat - Short","89","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Shrug / Waist Coat","59","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Over coat","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Parka Coat Short","139","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Sweatshirt / Jumper","59","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Wind Cheater / Rain Coat","54","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jacket Rexine","119","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jacket Leather","399","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jacket Normal Short","99","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jacket Puffer Short","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jacket - Faux fur Short","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Western Formal Suit - 2 pcs ( Shirt, Coat, Pant )","124","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Formal And Semi Formal Trouser","29","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jeggings","69","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Track suit","99","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jainkyrshah","89","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Khasi Jainsem Light","124","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Towel","29","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bed Cover Single","125","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bed Cover Double","175","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bed Sheet Single","59","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bed Sheet Double","99","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Blanket Single","174","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Blanket Double","224","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Small","35","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Normal ( Large )","59","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Pillow Cover - Cotton / Terry Cotton","34","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Pillow Cover - Embroidery","49","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Quilt ( Single )","224","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Quilt ( Double )","274","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Gamosa","26","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Robe ( Medium )","34","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Stuff Toy Small","59","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Mat ( Large )","44","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Oven Gloves ( Set )","64","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Pillow Cover 2 pcs Set","32","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Blanket Duvet ( Single )","49","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Blanket Duvet ( Double )","449","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Normal ( Small )","34","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Embroidery ( Small / Medium / Large size )","84","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Sofa cover - Embroidery work ( Single )","239","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Sofa cover - Normal ( Single )","174","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Sofa cover - Lace ( Single )","199","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - Cotton [Per Panel]","114","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - Lace [Per Panel]","144","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - Embroidery Work [Per Panel]","134","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Table Runner Embroidery","114","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Laptop Bag","199","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bagpack Small","149","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bagpack Medium","174","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bagpack Large","249","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Mat ( Small )","24","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Travel pillow with beads","174","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Robe ( Small )","29","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Travel pillow without beads","149","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Robe ( Big )","44","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Women's Sling Bag","199","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Women's Shoulder Bag","299","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Small - Preimium","64","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Leather Bag ( Small )","224","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Normal ( Medium )","44","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Leather Bag ( Medium )","299","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Quilt Cover ( Single )","125","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Leather Bag ( Large )","424","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Quilt Cover ( Double )","175","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Stuff Toy Medium","99","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Stuff Toy Big","149","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - Without Lining [ Per Panel ]","119","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - With Lining [Per Panel]","175","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Face Towel","19","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Hand Towel","24","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Table Cloth Small","45","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Table Cloth Big","75","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Table Runner - Fancy","89","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Foot Mat ( 1ft * 2ft )","29","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Pram","199","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Suit Case Small","124","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Suit Case Medium","199","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Suit Case Big","249","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Razai","239","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Mossquito Net","149","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bag","274","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Handgloves","49","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Combo - Shirt and Pant ( 2 pcs set )","39","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Track suit / Night suit ( 2 pcs set )","84","","","","","","","","","","","","","","","","","","","","","","",""
